"filename", "language", "Markdown", "Sass", "SCSS", "HTML", "YAML", "JSON", "BibTeX", "Shell Script", "JSON with Comments", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"/mnt/nodo/Repos/website-version-1/_sass/base/_all.sass", "Sass", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/mnt/nodo/Repos/website-version-1/_sass/base/generic.sass", "Sass", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 143
"/mnt/nodo/Repos/website-version-1/_sass/base/helpers.sass", "Sass", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63, 282
"/mnt/nodo/Repos/website-version-1/_sass/base/minireset.sass", "Sass", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 86
"/mnt/nodo/Repos/website-version-1/_sass/components/_all.sass", "Sass", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/mnt/nodo/Repos/website-version-1/_sass/components/breadcrumb.sass", "Sass", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 76
"/mnt/nodo/Repos/website-version-1/_sass/components/card.sass", "Sass", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 80
"/mnt/nodo/Repos/website-version-1/_sass/components/dropdown.sass", "Sass", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 82
"/mnt/nodo/Repos/website-version-1/_sass/components/level.sass", "Sass", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 78
"/mnt/nodo/Repos/website-version-1/_sass/components/list.sass", "Sass", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 40
"/mnt/nodo/Repos/website-version-1/_sass/components/media.sass", "Sass", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"/mnt/nodo/Repos/website-version-1/_sass/components/menu.sass", "Sass", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 58
"/mnt/nodo/Repos/website-version-1/_sass/components/message.sass", "Sass", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 88
